Name,Registration No.,Type,E-mail,Telephone,Fax No.,Address,Contact Person,Correspondence Address,Validity,Trade Name,Exchange Name,Website,Correspondence E-mail,Correspondence Telephone,Correspondence Fax,Mobile No.
AYAN ANALYTICS PRIVATE LIMITED,INP000007614,Registered Portfolio Managers,girishlad1988@gmail.com,9102200000000,9102200000000,"Flat No. 23, Wing C, Floor 2, Shreerang Unit11, Shreerang society, N G Marg, THANE, MAHARASHTRA, 400601",Girish Lad,"301, Wing A, Devi Darshan, Tembi Naka, THANE, MAHARASHTRA, 400601","Nov 07, 2022 - Perpetual",,,,,,,
AYUSH BHARGAVA PROPRIETOR BHARGAVA FINANCIAL PLANNERS,INA000004385,Investment Adviser,bhargavaayush@gmail.com,,,"3/1, KAMLA NEHRU MARG,, NEAR SHAHEED PARK, FREEGANJ, UJJAIN, MADHYA PRADESH, 456001",,"3/1, Kamla Nehru Marg, Near Shaheed Park, UJJAIN, MADHYA PRADESH, 456001","Mar 17, 2016 - Perpetual",,,,,,,
AYUSH SHARMA,INA000020475,Investment Adviser,ayushsharma864@gmail.com,00919530005226,00919530005226,"A-240 Nehru Nagar Pani Pech, Jaipur, Rajasthan, JAIPUR, RAJASTHAN, 302016",Ayush Sharma,"A-240 Nehru Nagar Pani Pech, Jaipur, Rajasthan, JAIPUR, RAJASTHAN, 302016","Jul 09, 2025 - Perpetual",,,,,,,
AYUSHAJAY STOCK BROKERS PRIVATE LIMITED,INZ000272434,Registered Stock Brokers in equity segment,enquireasbpl@yahoo.com,9107312410727,,"3/3,SOUTH TUKOGANJ",,,"Mar 19, 2013 - Perpetual",AYUSHAJAY STOCK BROKERS PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
AYUSHAJAY STOCK BROKERS PRIVATE LIMITED,INZ000272434,Registered Stock Brokers in Equity Derivative Segment,enquireasbpl@yahoo.com,9107312410727,,"3/3,SOUTH TUKOGANJ",,,"Mar 19, 2013 - Perpetual",AYUSHAJAY STOCK BROKERS PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
AYUSHI CHAUKSEY ADVISER PRIVATE LIMITED,INA000019707,Investment Adviser,ayushichaukseyadviser2024@gmail.com,91007777024549,91007777024549,"801 SAHKARWADI SAHAKAR SOC BHD VIRWANI INDL ESTATE MULUND GOREGAON LK RD, GOREGAON EAST, MUMBAI, MAHARASHTRA, 400063",AYUSHI CHAUKSEY,"801 SAHKARWADI SAHAKAR SOC BHD VIRWANI INDL ESTATE MULUND GOREGAON LK RD, GOREGAON EAST, MUMBAI, MAHARASHTRA, 400063","Dec 06, 2024 - Perpetual",,,,,,,
AYUSMAN DAS,INA000013651,Investment Adviser,WORTHMARKETRESEARCH@GMAIL.COM,,,"21/476, OM FLAT, NEW IPCL ROAD , OPP BHAILAL MARRIAGE HALL,, GORWA, VADODARA, GUJARAT, 390016",AYUSMAN DAS,"21/476, OM FLAT, NEW IPCL ROAD , OPP BHAILAL MARRIAGE HALL, GORWA, VADODARA, GUJARAT, 390016","Jul 19, 2019 - Perpetual",,,,WORTHMARKETRESEARCH@GMAIL.COM,,,
B D SHAH SECURITIES LIMITED,INZ000200338,Registered Stock Brokers in equity segment,mitesh@bdshah.com,0919820070720,,"R-701,ROTUNDA BUILDING BOMBAY SAMACHAR MARG FORT MUMBAI CITY",,,"Jan 13, 1998 - Perpetual",B D SHAH SECURITIES LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
B D SHAH SECURITIES LIMITED,INZ000200338,Registered Stock Brokers in Equity Derivative Segment,mitesh@bdshah.com,0919820070720,,"R-701,ROTUNDA BUILDING BOMBAY SAMACHAR MARG FORT MUMBAI CITY",,,"Jan 13, 1998 - Perpetual",B D SHAH SECURITIES LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
B D SHAH SECURITIES LIMITED,INZ000200338,Registered Stock Brokers in Equity Derivative Segment,mitesh@bdshah.com,0919820070720,,"R-701,ROTUNDA BUILDING BOMBAY SAMACHAR MARG FORT MUMBAI CITY",,,"Jan 13, 1998 - Perpetual",B D SHAH SECURITIES LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
B D SHAH SECURITIES LIMITED,INZ000200338,Registered Stock Brokers in Equity Derivative Segment,mitesh@bdshah.com,0919820070720,,"R-701,ROTUNDA BUILDING BOMBAY SAMACHAR MARG FORT MUMBAI CITY",,,"Jan 13, 1998 - Perpetual",B D SHAH SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
B D SHAH SECURITIES LIMITED,INZ000200338,Registered Stock Brokers in equity segment,mitesh@bdshah.com,0919820070720,,"R-701,ROTUNDA BUILDING BOMBAY SAMACHAR MARG FORT MUMBAI CITY",,,"Jan 13, 1998 - Perpetual",B D SHAH SECURITIES LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
B K SHAH TRADEX LLP,INZ000289851,Registered Stock Brokers in Equity Derivative Segment,bkshare1995@yahoo.com,9107948902646,,"C-808, The first,B/S Keshav baug party plot B/H ITC Hotel, Vastrapur",,,"Nov 20, 2019 - Perpetual",B K SHAH TRADEX LLP,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
B M GANDHI SECURITIES PVT. LTD.,INZ000232837,Registered Stock Brokers in equity segment,info@bmgandhi.com,9102222721254,,"411, 4TH FLOOR, ROTUNDA TOWERS, DALAL STREET, FORT,",,,"Jan 07, 1998 - Perpetual",B M GANDHI SECURITIES PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
B R JALAN SECURITIES PRIVATE LIMITED,INZ000199136,Registered Stock Brokers in equity segment,brjalan@vsnl.net,9102224923458,,"903, Marathon Icon, Marathon Next Gen Campus Veer Santaji Lane, Lower Parel (West)",,,"Jan 13, 1998 - Perpetual",B R JALAN SECURITIES PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
B R JALAN SECURITIES PRIVATE LIMITED,INZ000199136,Registered Stock Brokers in equity segment,brjalan@vsnl.net,9102224923458,,"903, Marathon Icon, Marathon Next Gen Campus Veer Santaji Lane, Lower Parel (West)",,,"Jan 13, 1998 - Perpetual",B R JALAN SECURITIES PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
B R JALAN SECURITIES PRIVATE LIMITED,INZ000199136,Registered Stock Brokers in equity segment,brjalan@vsnl.net,9102224923458,,"903, Marathon Icon, Marathon Next Gen Campus Veer Santaji Lane, Lower Parel (West)",,,"Jan 13, 1998 - Perpetual",B R JALAN SECURITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
B R JALAN SECURITIES PRIVATE LIMITED,INZ000199136,Registered Stock Brokers in Equity Derivative Segment,brjalan@vsnl.net,9102224923458,,"903, Marathon Icon, Marathon Next Gen Campus Veer Santaji Lane, Lower Parel (West)",,,"Jan 13, 1998 - Perpetual",B R JALAN SECURITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
B R JALAN SECURITIES PRIVATE LIMITED,INZ000199136,Registered Stock Brokers in Equity Derivative Segment,brjalan@vsnl.net,9102224923458,,"903, Marathon Icon, Marathon Next Gen Campus Veer Santaji Lane, Lower Parel (West)",,,"Jan 13, 1998 - Perpetual",B R JALAN SECURITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
B R JALAN SECURITIES PRIVATE LIMITED,INZ000199136,Registered Stock Brokers in Currency Derivative Segment,brjalan@vsnl.net,9102224923458,,"903, Marathon Icon, Marathon Next Gen Campus Veer Santaji Lane, Lower Parel (West)",,,"Jan 13, 1998 - Perpetual",B R JALAN SECURITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
B R JALAN SECURITIES PRIVATE LIMITED,INZ000199136,Registered Stock Brokers in Equity Derivative Segment,brjalan@vsnl.net,9102224923458,,"903, Marathon Icon, Marathon Next Gen Campus Veer Santaji Lane, Lower Parel (West)",,,"Jan 13, 1998 - Perpetual",B R JALAN SECURITIES PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
B R JALAN SECURITIES PVT LTD,INB010996931,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Jan 13, 1998 - Perpetual",B R JALAN SECURITIES PVT LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
B R MEHTA & SONS SHARE STKS & FINANCE BROKERS P LTD,INB010997734,Registered Stock Brokers in equity segment,,,,,,,"Jan 13, 1998 - Perpetual",B R MEHTA & SONS SHARE STKS & FINANCE BROKERS P LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
B. D. SHROFF SECURITIES PVT LTD,INZ000228735,Registered Stock Brokers in equity segment,cumiandcyrus@gmail.com,0919820073305,,"Mulla House, 1st Floor 51 M.G.Road, Fort,",,,"Jan 07, 1998 - Perpetual",B. D. SHROFF SECURITIES PVT LTD,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
B. D. SHROFF SECURITIES PVT LTD,INZ000228735,Registered Stock Brokers in Equity Derivative Segment,cumiandcyrus@gmail.com,0919820073305,,"Mulla House, 1st Floor 51 M.G.Road, Fort,",,,"Jan 07, 1998 - Perpetual",B. D. SHROFF SECURITIES PVT LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
B. KHERA FINANCIAL SERVICES LIMITED,INE260825133,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Nov 20, 2008 - Perpetual",B. KHERA FINANCIAL SERVICES LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
B. M. GANDHI SHAREBROKING PRIVATE LIMITED,INB231287633,Registered Stock Brokers in equity segment,,,,,,,"Aug 30, 2007 - Perpetual",B. M. GANDHI SHAREBROKING PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
B. M. GANDHI SHAREBROKING PVT. LTD.,INE260984835,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Sep 30, 2008 - Perpetual",B. M. GANDHI SHAREBROKING PVT. LTD.,METROPOLITAN STOCK EXCHANGE,,,,,
B. N. RATHI SECURITIES LIMITED,INZ000160834,Registered Stock Brokers in Equity Derivative Segment,compliance@bnrsecurities.com,919703703399,,"6-3-652, 4th Floor, Kautilya Amrutha Estates, Somajiguda",,,"Apr 19, 1995 - Perpetual",B. N. RATHI SECURITIES LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
B. N. RATHI SECURITIES LIMITED,INZ000160834,Registered Stock Brokers in Equity Derivative Segment,compliance@bnrsecurities.com,919703703399,,"6-3-652, 4th Floor, Kautilya Amrutha Estates, Somajiguda",,,"Apr 19, 1995 - Perpetual",B. N. RATHI SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
B. N. RATHI SECURITIES LIMITED,INZ000160834,Registered Stock Brokers in equity segment,compliance@bnrsecurities.com,919703703399,,"6-3-652, 4th Floor, Kautilya Amrutha Estates, Somajiguda",,,"Apr 19, 1995 - Perpetual",B. N. RATHI SECURITIES LIMITED,NSE Clearing Limited,,,,,
B. N. RATHI SECURITIES LIMITED,INZ000160834,Registered Stock Brokers in Equity Derivative Segment,compliance@bnrsecurities.com,919703703399,,"6-3-652, 4th Floor, Kautilya Amrutha Estates, Somajiguda",,,"Apr 19, 1995 - Perpetual",B. N. RATHI SECURITIES LIMITED,NSE Clearing Limited,,,,,
B. N. RATHI SECURITIES LIMITED,INZ000160834,Registered Stock Brokers in Currency Derivative Segment,compliance@bnrsecurities.com,919703703399,,"6-3-652, 4th Floor, Kautilya Amrutha Estates, Somajiguda",,,"Apr 19, 1995 - Perpetual",B. N. RATHI SECURITIES LIMITED,NSE Clearing Limited,,,,,
B. N. RATHI SECURITIES LIMITED,INZ000160834,Registered Stock Brokers in equity segment,compliance@bnrsecurities.com,919703703399,,"6-3-652, 4th Floor, Kautilya Amrutha Estates, Somajiguda",,,"Apr 19, 1995 - Perpetual",B. N. RATHI SECURITIES LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
B. N. RATHI SECURITIES LIMITED,INZ000160834,Registered Stock Brokers in Currency Derivative Segment,compliance@bnrsecurities.com,919703703399,,"6-3-652, 4th Floor, Kautilya Amrutha Estates, Somajiguda",,,"Apr 19, 1995 - Perpetual",B. N. RATHI SECURITIES LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
B. N. RATHI SECURITIES LIMITED,INZ000160834,Registered Stock Brokers in equity segment,compliance@bnrsecurities.com,919703703399,,"6-3-652, 4th Floor, Kautilya Amrutha Estates, Somajiguda",,,"Apr 19, 1995 - Perpetual",B. N. RATHI SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
B. N. KAPUR,INB030068613,Registered Stock Brokers in equity segment,,,,,,,"Nov 30, 1992 - Perpetual",B.N. KAPUR,CALCUTTA STOCK EXCHANGE,,,,,
B. N. RATHI SECURITIES LIMITED,INB260714135,Registered Stock Brokers in equity segment,,,,,,,"Jan 14, 2013 - Perpetual",B. N. RATHI SECURITIES LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
B. N. RATHI SECURITIES LTD.,INE260714138,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Sep 30, 2008 - Perpetual",B. N. RATHI SECURITIES LTD.,METROPOLITAN STOCK EXCHANGE,,,,,
B.K.C. SECURITIES & SHARE (P) LTD.,INB030763538,Registered Stock Brokers in equity segment,,,,,,,"Feb 14, 1994 - Perpetual",B.K.C. SECURITIES & SHARE (P) LTD.,CALCUTTA STOCK EXCHANGE,,,,,
B.L.SEAL,INB030058016,Registered Stock Brokers in equity segment,,,,,,,"Nov 30, 1992 - Perpetual",B.L. SEAL,CALCUTTA STOCK EXCHANGE,,,,,
B.N. CHATURVEDI,INB030665313,Registered Stock Brokers in equity segment,,,,,,,"Nov 23, 1994 - Perpetual",CHATURVEDI & SONS,CALCUTTA STOCK EXCHANGE,,,,,
B.N. RATHI SECURITIES LIMITED,INP000009135,Registered Portfolio Managers,COMPLIANCE@BNRSECURITIES.COM,9104040527777,9104040527777,"6 3 652 IV FLOOR KAUTILYA, AMRUTHA ESTATES SOMAJIGUDA, HYDERABAD, TELANGANA, 500082",Gadila Sabitha Reddy,"6 3 652 IV FLOOR KAUTILYA, AMRUTHA ESTATES SOMAJIGUDA, HYDERABAD, TELANGANA, 500082","Dec 18, 2024 - Perpetual",,,,,,,
B.S. SECURITIES,INZ000198021,Registered Stock Brokers in equity segment,VINOD@BRIJSAGAR.COM,9102230973670,,"204, UNIQUE TOWER, GAIWADI NEXT TO PATEL PETROL PUMP, S V ROAD, GOREGAON WEST, MUMBAI",,,"Jan 12, 1996 - Perpetual",B.S. SECURITIES,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
B.S. SECURITIES,INZ000198021,Registered Stock Brokers in equity segment,VINOD@BRIJSAGAR.COM,9102230973670,,"204, UNIQUE TOWER, GAIWADI NEXT TO PATEL PETROL PUMP, S V ROAD, GOREGAON WEST, MUMBAI",,,"Jan 12, 1996 - Perpetual",B.S. SECURITIES,NSE Clearing Limited,,,,,
B.S. SECURITIES,INZ000198021,Registered Stock Brokers in Equity Derivative Segment,VINOD@BRIJSAGAR.COM,9102230973670,,"204, UNIQUE TOWER, GAIWADI NEXT TO PATEL PETROL PUMP, S V ROAD, GOREGAON WEST, MUMBAI",,,"Jan 12, 1996 - Perpetual",B.S. SECURITIES,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
B.S. SECURITIES,INZ000198021,Registered Stock Brokers in Equity Derivative Segment,VINOD@BRIJSAGAR.COM,9102230973670,,"204, UNIQUE TOWER, GAIWADI NEXT TO PATEL PETROL PUMP, S V ROAD, GOREGAON WEST, MUMBAI",,,"Jan 12, 1996 - Perpetual",B.S. SECURITIES,NSE Clearing Limited,,,,,
B.S.VASA,INF230677612,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Jun 02, 2000 - Perpetual",B.S. VASA,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BABA BASUKINATH STOCK BROKING PRIVATE LIMITED,INB031452833,Registered Stock Brokers in equity segment,,,,,,,"Jan 31, 2012 - Perpetual",BABA BASUKINATH STOCK BROKING PRIVATE LIMITED,CALCUTTA STOCK EXCHANGE,,,,,
BABA BHOOTHNATH COMMEX PRIVATE LIMITED,INZ000249438,Registered Stock Brokers in Equity Derivative Segment,bbtradecommerce@gmail.com,09103322904274,,10/4 HUNGER FORD STREET,,,"Jun 09, 2009 - Perpetual",BABA BHOOTHNATH COMMEX PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
BABA BHOOTHNATH COMMEX PRIVATE LIMITED,INZ000249438,Registered Stock Brokers in Currency Derivative Segment,bbtradecommerce@gmail.com,09103322904274,,10/4 HUNGER FORD STREET,,,"Jun 09, 2009 - Perpetual",BABA BHOOTHNATH COMMEX PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
BABA BHOOTHNATH COMMEX PRIVATE LIMITED,INZ000249438,Registered Stock Brokers in equity segment,bbtradecommerce@gmail.com,09103322904274,,10/4 HUNGER FORD STREET,,,"Jun 09, 2009 - Perpetual",BABA BHOOTHNATH COMMEX PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
BABA BHOOTHNATH TRADE & COMMERCE PRIVATE LIMITED,INF011411734,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Sep 28, 2010 - Perpetual",BABA BHOOTHNATH TRADE & COMMERCE PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BABA BHOOTHNATH TRADE & COMMERCE PRIVATE LIMITED,INB011411734,Registered Stock Brokers in equity segment,,,,,,,"Sep 28, 2010 - Perpetual",BABA BHOOTHNATH TRADE & COMMERCE PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,INZ000219037,Registered Stock Brokers in Equity Derivative Segment,bbtradecommerce@gmail.com,9102222085250,,"30, JAMBULWADI, 4TH FLOOR ROOM NO.B-404/405 KALBADEVI ROAD",,,"Aug 25, 2014 - Perpetual",BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,INZ000219037,Registered Stock Brokers in Currency Derivative Segment,bbtradecommerce@gmail.com,9102222085250,,"30, JAMBULWADI, 4TH FLOOR ROOM NO.B-404/405 KALBADEVI ROAD",,,"Aug 25, 2014 - Perpetual",BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,INZ000219037,Registered Stock Brokers in equity segment,bbtradecommerce@gmail.com,9102222085250,,"30, JAMBULWADI, 4TH FLOOR ROOM NO.B-404/405 KALBADEVI ROAD",,,"Aug 25, 2014 - Perpetual",BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,NSE Clearing Limited,,,,,
BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,INZ000219037,Registered Stock Brokers in Currency Derivative Segment,bbtradecommerce@gmail.com,9102222085250,,"30, JAMBULWADI, 4TH FLOOR ROOM NO.B-404/405 KALBADEVI ROAD",,,"Aug 25, 2014 - Perpetual",BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,INZ000219037,Registered Stock Brokers in equity segment,bbtradecommerce@gmail.com,9102222085250,,"30, JAMBULWADI, 4TH FLOOR ROOM NO.B-404/405 KALBADEVI ROAD",,,"Aug 25, 2014 - Perpetual",BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,INZ000219037,Registered Stock Brokers in Equity Derivative Segment,bbtradecommerce@gmail.com,9102222085250,,"30, JAMBULWADI, 4TH FLOOR ROOM NO.B-404/405 KALBADEVI ROAD",,,"Aug 25, 2014 - Perpetual",BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,INZ000219037,Registered Stock Brokers in equity segment,bbtradecommerce@gmail.com,9102222085250,,"30, JAMBULWADI, 4TH FLOOR ROOM NO.B-404/405 KALBADEVI ROAD",,,"Aug 25, 2014 - Perpetual",BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,INZ000219037,Registered Stock Brokers in Equity Derivative Segment,bbtradecommerce@gmail.com,9102222085250,,"30, JAMBULWADI, 4TH FLOOR ROOM NO.B-404/405 KALBADEVI ROAD",,,"Aug 25, 2014 - Perpetual",BABA BHOOTHNATH TRADE AND COMMERCE LIMITED,NSE Clearing Limited,,,,,
BABA BHOOTHNATH TRADE AND COMMERCE PRIVATE LIMITED,INB231411738,Registered Stock Brokers in equity segment,,,,,,,"Dec 13, 2010 - Perpetual",BABA BHOOTHNATH TRADE AND COMMERCE PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BABA BHOOTHNATH TRADE AND COMMERCE PRIVATE LIMITED,INE231411738,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Dec 13, 2010 - Perpetual",BABA BHOOTHNATH TRADE AND COMMERCE PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BABA BHOOTHNATH TRADE AND COMMERCE PRIVATE LIMITED,INF231411738,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Dec 13, 2010 - Perpetual",BABA BHOOTHNATH TRADE AND COMMERCE PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BACHHAWAT SHARE BROKING PVT. LTD.,INB031092332,Registered Stock Brokers in equity segment,,,,,,,"May 04, 2000 - Perpetual",BACHHAWAT SHARE BROKING PVT. LTD.,CALCUTTA STOCK EXCHANGE,,,,,
BACHHRAJ BAMALWA,INE261337112,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Apr 02, 2009 - Perpetual",EASY FOREX,METROPOLITAN STOCK EXCHANGE,,,,,
BADAL BHARTI PROPRIETOR RESEARCH PANEL INVESTMENT ADVISERS,INA000005390,Investment Adviser,badalbharti19871@gmail.com,07316550005,07316550005,"A-322, SINGAPORE NEST, NEAR PANCHWATI COLONY, INDORE, MADHYA PRADESH, 452001",,"A-322, Singapore Nest, Near Panchwati Colony, INDORE, MADHYA PRADESH, 452001","Aug 18, 2016 - Perpetual",,,,,,,
BADJATE STOCK AND SHARES PRIVATE LIMITED,INZ000190232,Registered Stock Brokers in Equity Derivative Segment,compliance@badjategroup.com,917126604219,,"2ND FLOOR, 207 MANGALAM ARCADE, ABOVE VENUS BOOK CENTRE, DHARAMPETH EXTENSION",,,"Apr 17, 2013 - Perpetual",BADJATE STOCK AND SHARES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BADJATE STOCK AND SHARES PRIVATE LIMITED,INZ000190232,Registered Stock Brokers in Currency Derivative Segment,compliance@badjategroup.com,917126604219,,"2ND FLOOR, 207 MANGALAM ARCADE, ABOVE VENUS BOOK CENTRE, DHARAMPETH EXTENSION",,,"Apr 17, 2013 - Perpetual",BADJATE STOCK AND SHARES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BADJATE STOCK AND SHARES PRIVATE LIMITED,INZ000190232,Registered Stock Brokers in equity segment,compliance@badjategroup.com,917126604219,,"2ND FLOOR, 207 MANGALAM ARCADE, ABOVE VENUS BOOK CENTRE, DHARAMPETH EXTENSION",,,"Apr 17, 2013 - Perpetual",BADJATE STOCK AND SHARES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BADJATE STOCK AND SHARES PRIVATE LIMITED,INZ000190232,Registered Stock Brokers in equity segment,compliance@badjategroup.com,917126604219,,"2ND FLOOR, 207 MANGALAM ARCADE, ABOVE VENUS BOOK CENTRE, DHARAMPETH EXTENSION",,,"Apr 17, 2013 - Perpetual",BADJATE STOCK AND SHARES PRIVATE LIMITED,NSE Clearing Limited,,,,,
BADJATE STOCK AND SHARES PRIVATE LIMITED,INZ000190232,Registered Stock Brokers in equity segment,compliance@badjategroup.com,917126604219,,"2ND FLOOR, 207 MANGALAM ARCADE, ABOVE VENUS BOOK CENTRE, DHARAMPETH EXTENSION",,,"Apr 17, 2013 - Perpetual",BADJATE STOCK AND SHARES PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BADJATE STOCK AND SHARES PRIVATE LIMITED,INZ000190232,Registered Stock Brokers in Equity Derivative Segment,compliance@badjategroup.com,917126604219,,"2ND FLOOR, 207 MANGALAM ARCADE, ABOVE VENUS BOOK CENTRE, DHARAMPETH EXTENSION",,,"Apr 17, 2013 - Perpetual",BADJATE STOCK AND SHARES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BADJATE STOCK AND SHARES PRIVATE LIMITED,INZ000190232,Registered Stock Brokers in Currency Derivative Segment,compliance@badjategroup.com,917126604219,,"2ND FLOOR, 207 MANGALAM ARCADE, ABOVE VENUS BOOK CENTRE, DHARAMPETH EXTENSION",,,"Apr 17, 2013 - Perpetual",BADJATE STOCK AND SHARES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BADJATE STOCK AND SHARES PRIVATE LIMITED,INZ000190232,Registered Stock Brokers in equity segment,compliance@badjategroup.com,917126604219,,"2ND FLOOR, 207 MANGALAM ARCADE, ABOVE VENUS BOOK CENTRE, DHARAMPETH EXTENSION",,,"Apr 17, 2013 - Perpetual",BADJATE STOCK AND SHARES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BADJATE WEALTH PRIVATE LIMITED,INP000006527,Registered Portfolio Managers,tusharbadjate@badjategroup.com,9107126604217,9107126604217,"207, 2ND FLOOR, MANGALAM ARCADE, ABOVE VENUS BOOK DEPOT, DHARAMPETH EXTENSION, NAGPUR, MAHARASHTRA, 440010",TUSHAR BADJATE,"207, 2ND FLOOR, MANGALAM ARCADE, ABOVE VENUS BOOK DEPOT, DHARAMPETH EXTENSION, NAGPUR, MAHARASHTRA, 440010","Feb 05, 2025 - Perpetual",,,,,,,
BADRI DAS DAMANI,INB030042511,Registered Stock Brokers in equity segment,,,,,,,"Nov 30, 1992 - Perpetual",BADRI DAS DAMANI & SONS,CALCUTTA STOCK EXCHANGE,,,,,
BADRI PRASAD PODDAR,INB030485616,Registered Stock Brokers in equity segment,,,,,,,"Jan 25, 1993 - Perpetual",HURDYAL SITARAM,CALCUTTA STOCK EXCHANGE,,,,,
BAFNA SECURITIES PRIVATE LTD.,INB030910933,Registered Stock Brokers in equity segment,,,,,,,"May 20, 1996 - Perpetual",BAFNA SECURITIES PRIVATE LTD.,CALCUTTA STOCK EXCHANGE,,,,,
BAGARIA DERIVATIVE SERVICES PRIVATE LIMITED,INZ000226533,Registered Stock Brokers in equity segment,bagariaderivative@gmail.com,910119099022288,,"FC-303, 3rd Floor, D Mall, Netaji Subhash Place, Pitampura,",,,"Feb 27, 2019 - Perpetual",BAGARIA DERIVATIVE SERVICES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
